Career,Python,Java,C++,SQL,NoSQL,Machine_Learning,Deep_Learning,Data_Analysis,Statistics,Excel,PowerBI,Tableau,Cloud_AWS,Cloud_Azure,Cloud_GCP,Docker,Kubernetes,Linux,Networking,Cyber_Security,Web_Development,Mobile_Development,System_Design,Problem_Solving,Communication,Leadership,Project_Management,Agile_Scrum,DevOps,CI_CD
Data Scientist,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
Data Analyst,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1
Machine Learning Engineer,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Software Developer,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0
Web Developer,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1
Cloud Engineer,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1
DevOps Engineer,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0
Business Analyst,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0
Product Manager,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
AI Researcher,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0
Cyber Security Analyst,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0
Database Administrator,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1
Mobile App Developer,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1
Game Developer,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0
Network Engineer,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1
System Administrator,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
IT Support Engineer,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1
Digital Marketer,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1
SEO Specialist,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Content Strategist,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
